N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
15	0.7	81.001	3	10	10	10	1	11.16454218951219	11.445354081867503	3.0105987764677904 -1.209415517923347 3.6589605757933583 -0.9611263501445777 4.308999704914986 -0.7197471657825079 4.964133920018481 -0.4895931351325024 5.624559296555543 -0.2717050565477724 6.289526628393493 -0.06470596536052753 6.957932329182628 0.1339377434660926 7.628696249013959 0.3269581059410418 8.300942972698696 0.5166923547871325 8.974049499054953 0.704831530143326 9.647620551488934 0.892419391506686 10.321434779674888 1.0799867850574232 10.995387664569504 1.2677242967384073 11.669443887328583 1.4556346015307355 12.343602561121076 1.6436448526050564 
6	0.7	81.001	4	10	10	10	1	4.883154656596917	5.758184264247356	-1.998597690874038 -2.387250434804873 -1.4190098740313744 -1.9969581324137724 -0.8407309823815651 -1.6069476840192731 -0.2641730258619191 -1.216579740000301 0.31024529591244615 -0.8252085629477987 0.8837116676718572 -0.431610024666099 
6	0.7	81.001	4	10	10	10	1	4.8994847017032015	7.674351514925297	1.5673269018868166 -1.2430216711749411 2.062430613993769 -0.7477937351792912 2.56545319875462 -0.25937195738337326 3.0785935578362986 0.21571540512974682 3.5997362123399936 0.6817406193976803 4.124938410043858 1.1440044231269662 
6	0.7	81.001	4	10	10	10	1	4.863213736973869	7.783116294303522	-4.378778372113987 -1.314172427840785 -3.7241828755867843 -1.0731069158122144 -3.0717958074880998 -0.8331223443079047 -2.4215292878340406 -0.5945355803658496 -1.7733244733638351 -0.35755493751607936 -1.1272064805297923 -0.12206884338401294 
7	0.7	81.001	4	10	10	10	1	5.5556297660111795	9.674381767651855	-0.4050239965190442 0.24237508438353947 0.217084983029319 0.5358698924916233 0.841949082112547 0.8300589193265833 1.4666403878570375 1.1263352565874525 2.091043886516837 1.4277971257155995 2.714849060639414 1.734733188686308 3.338880772357971 2.0454874774662954 
7	0.7	84.002	4	10	10	10	1	5.587579696727751	5.758184264247356	-2.582930368064175 -2.8787714730076615 -2.0198867146499127 -2.4636961782407147 -1.4576232278108399 -2.048545771265205 -0.8967804602632027 -1.6326321495215514 -0.3380916966338875 -1.2150815619235493 0.2177540518011445 -0.7951934338829062 0.7723858767182369 -0.37335120510877123 
7	0.7	84.002	4	10	10	10	1	5.595992690303577	7.674351514925297	1.517394566848064 -1.152799771846931 2.0431623260557283 -0.6896289133312299 2.5701031393812817 -0.2310767183237628 3.1000149587583534 0.22425507612486287 3.6324231825472526 0.6772015647139165 4.166275154004778 1.1289448435467424 4.700198660889993 1.5812755835366246 
6	0.7	84.002	4	10	10	10	1	4.875507109922602	7.783116294303522	-4.495389632734708 -1.3651935163304256 -3.837603942427484 -1.131085154885337 -3.1810575478098757 -0.8982279641220219 -2.5255660868193295 -0.6670510286935215 -1.8710741407407943 -0.4376040540696897 -1.217669045826723 -0.20949580625864167 
7	0.7	84.002	4	10	10	10	1	5.569700746756597	9.674381767651855	-0.40501940974378187 0.42483269260825374 0.22843433473005084 0.7036959606701917 0.8630016081671513 0.9833716888022815 1.4969849930834973 1.2660352056667639 2.130251074896633 1.5532636464701004 2.7629334858525105 1.8448564047504303 3.3957286826062023 2.1393589376534736 
5	0.7	84.002	4	10	10	10	1	4.180435952210335	8.392916559595712	-8.787716040446629 -1.4150943238988851 -8.122815778566109 -1.2026340874299002 -7.459749074197757 -0.990889195314164 -6.798448619591996 -0.7799665496817083 -6.138869895989806 -0.5698503985658363 
