   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	        AvgNgbAngle	          correltot	           correlsd	          correlmed	         Old_pole_X	         Old_pole_Y	       Young_pole_X	       Young_pole_Y	         OldPoleAge	       Bary_Neigh_X	       Bary_Neigh_Y
     0TT	                 10	                 24	                  2	                  5	                 18	                 24	            73.6385	               1384	            681.119	            388.244	           -2.75044	             30.365	            13.5832	            52.4396	          0.0252344	           0.925153	            1.70901	            24.8658	        5.16334e+07	            11954.8	            39019.5	                NaN	        1.45884e+08	               4336	        1.05471e+08	               3013	        2.61115e+08	               7890	         1.5682e+08	               4556	            3.13802	        5.16334e+07	            11954.8	            39019.5	            715.158	            402.282	            647.081	            374.207	                  1	            641.406	            393.361
     0HH	                 10	                 24	                  3	                  6	                 18	                 24	            79.5869	               1474	             619.96	            394.869	          0.0992432	            31.1791	            13.2764	            54.0724	          0.0277952	            0.99795	            2.12941	            24.8331	        5.40737e+07	            11424.6	            37994.5	                NaN	        1.43515e+08	               4336	        1.09236e+08	               3180	        2.55433e+08	               7750	        1.61472e+08	               4728	           0.341019	        5.40737e+07	            11424.6	            37994.5	            580.362	            390.926	            659.558	            398.812	                  1	            661.793	            391.153
     0HT	                 10	                 24	                  4	                  3	                 18	                 30	            72.5277	               1270	             682.27	            413.706	           -2.82045	            37.7912	            12.3599	            54.7308	          0.0268272	           0.993684	             2.1875	             23.516	        4.67147e+07	            12203.6	              37207	                NaN	        1.28896e+08	               3906	        9.21278e+07	               2678	        2.27665e+08	               6886	        1.40717e+08	               4106	           -2.95371	        4.67147e+07	            12203.6	              37207	             716.68	            425.152	             647.86	            402.259	                  3	             650.54	            391.557
     0TT	                 11	                 27	                  1	                  5	                 18	                 24	            78.5339	               1433	            683.336	            388.777	           -2.64189	            32.0915	            13.0553	            54.3533	          0.0252344	           0.925153	            1.63178	            24.2677	        5.35342e+07	            9590.45	              39179	                NaN	        1.43502e+08	               4295	        1.08319e+08	               3120	        2.31194e+08	               7029	        1.61391e+08	               4703	            3.04879	        5.35342e+07	            9590.45	              39179	            717.801	            407.593	             648.87	            369.962	                  1	            641.282	            393.742
     0HH	                 11	                 27	                  2	                  6	                 18	                 24	            87.6199	               1528	            619.304	            394.466	          0.0204467	            32.2457	            13.5967	            55.8058	          0.0277952	            0.99795	            2.67766	            23.7601	        5.58665e+07	             8829.4	              37878	                NaN	        1.49177e+08	               4520	        1.15548e+08	               3381	        2.67293e+08	               8122	        1.71809e+08	               5037	           0.402031	        5.58665e+07	             8829.4	              37878	            575.503	             393.57	            663.104	            395.362	                  1	            662.626	            391.846
     0HT	                 11	                 27	                  3	                  3	                 18	                 30	            77.8076	               1331	            683.666	             415.59	           -2.77644	            39.3451	            11.9848	            56.6598	          0.0268272	           0.993684	            1.75999	            23.2594	        4.92345e+07	            9992.84	              37928	                NaN	         1.2771e+08	               3896	        9.44229e+07	               2766	        2.08595e+08	               6314	        1.45269e+08	               4224	           -2.95792	        4.92345e+07	            9992.84	              37928	            720.005	            429.482	            647.328	            401.697	                  3	             651.32	            391.622
     0TH	                 11	                 27	                  4	                  4	                 18	                 30	            73.6824	               1248	            620.876	            371.171	         -0.0409697	            37.5682	            11.8247	             58.515	          0.0237792	           0.969233	             1.6381	            22.4765	        4.53908e+07	             9136.1	              36950	                NaN	         1.1842e+08	               3573	        9.51603e+07	               2770	        1.83874e+08	               5610	        1.44829e+08	               4263	           0.522403	        4.53908e+07	             9136.1	              36950	            584.065	             372.68	            657.686	            369.663	                  2	             651.32	            391.622
     0TT	                 12	                 30	                  1	                  5	                 18	                 24	            85.3475	               1545	            684.011	            387.016	           -2.52497	            33.8058	            12.0441	             56.632	          0.0252344	           0.925153	             2.2712	            23.6578	        5.86084e+07	            7773.28	              39542	                NaN	        1.42774e+08	               4342	        1.08298e+08	               3171	        2.25711e+08	               6836	        1.61352e+08	               4706	            3.12127	        5.86084e+07	            7773.28	              39542	            718.826	            411.694	            649.196	            362.339	                  1	            638.857	            394.352
     0TH	                 12	                 30	                  2	                  4	                 18	                 30	            79.6715	               1333	            615.869	            371.899	         -0.0465984	             40.706	            12.0454	            58.7517	          0.0237792	           0.969233	            1.99634	            22.5797	        4.87311e+07	            7872.29	              37241	                NaN	        1.19244e+08	               3638	        9.78615e+07	               2887	        1.83998e+08	               5614	         1.4736e+08	               4334	           0.448045	        4.87311e+07	            7872.29	              37241	            576.077	            373.755	            655.662	            370.044	                  2	            654.368	            390.752
     0HH	                 12	                 30	                  3	                  6	                 18	                 24	            93.8212	               1547	            624.725	            394.487	         -0.0118057	            26.0478	            13.5154	            52.4895	          0.0277952	            0.99795	            2.06711	            22.4714	        5.59707e+07	            7390.72	              37401	                NaN	        1.59011e+08	               4803	        1.30517e+08	               3848	        2.87552e+08	               8738	        2.04542e+08	               6009	           0.462672	        5.59707e+07	            7390.72	              37401	            577.817	            395.041	            671.632	            393.934	                  1	            658.619	            391.861
