N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	51.002	3	10	10	10	5	(172, 232, 139)	4.8495111922631775	8.815216922552963	-3.3020231491236003 -0.9959609003212252 -2.6197884027314515 -0.8562659847948204 -1.9410149949141255 -0.7171347073841969 -1.2655375635293726 -0.5783334742009526 -0.5930724377212009 -0.4396335858047755 0.07678613574127235 -0.3011450413494261 
6	0.7	51.002	3	10	10	10	5	(165, 249, 243)	4.8495269076095635	7.472044437655681	1.3123672354224 -0.08109550938465723 1.9893695972490377 0.016660233610686748 2.6688962011579145 0.1150705536523722 3.3513268512417524 0.21425909122455178 4.036975784179872 0.31418956088035016 4.726070963817458 0.4147462332147005 
11	0.7	54.003	2	10	10	10	5	(196, 6, 81)	8.40000239240129	9.528244473074336	-8.337922339595574 -0.47340976673308455 -7.64964202504045 -0.345854449909719 -6.9613655318679895 -0.2182779688042856 -6.273098703146292 -0.09064905378962014 -5.584847334375884 0.03706340873311838 -4.8966156253536965 0.16488187482282543 -4.208405130025642 0.2928145134549538 -3.520214379071272 0.42085322203014747 -2.832039233539944 0.5489755765661656 -2.1438739236842506 0.6771504454403933 -1.4557126603887904 0.8053464930512004 
6	0.7	54.003	3	10	10	10	5	(172, 232, 139)	4.892056092321708	8.815216922552963	-3.4025844075691047 -1.0202611960994679 -2.7178648070487537 -0.8775562338205783 -2.033687939210021 -0.7349474307156485 -1.3500257401094289 -0.5924083295491283 -0.6668333818535758 -0.4499180793170461 0.015951603082778328 -0.30747284939666836 
6	0.7	54.003	3	10	10	10	5	(165, 249, 243)	4.892058700028562	7.472044437655681	1.3712608822723766 -0.06345498875277417 2.0618873477777884 0.03412690778248063 2.752910140892557 0.13181894561193938 3.4443888448048297 0.22964197905515646 4.136373273508709 0.32758745787518545 4.8288998358882775 0.42563263347010055 
12	0.7	57.000	2	10	10	10	5	(196, 6, 81)	9.101262563327117	9.528244473074336	-8.336343943817251 -0.4795155234402806 -7.6487820223463565 -0.3479378039595069 -6.961261271386764 -0.21593096831631647 -6.273861843748799 -0.08305849720818753 -5.58659200080716 0.05075711671053139 -4.899331194195477 0.18494216430947005 -4.211801759134847 0.3181029501740791 -3.523162919296254 0.44807192134431034 -2.8345843452580173 0.5729252842759941 -2.1454710629841856 0.6950578185049451 -1.4560969582764978 0.8159765652549412 -0.7666123519949821 0.936550365300303 
7	0.7	57.000	3	10	10	10	5	(172, 232, 139)	5.59378716684393	8.815216922552963	-3.5702054398275713 -0.9129338957019166 -2.8717675840775065 -0.8757071199986912 -2.1734217729354097 -0.8439367063110118 -1.4749771298596044 -0.8214352508555315 -0.7763652344088121 -0.8096367396285797 -0.07758029471281176 -0.8072682053749131 0.6213943734420322 -0.8105396373774268 
7	0.7	57.000	3	10	10	10	5	(165, 249, 243)	5.597801832713111	7.472044437655681	0.7895075140308992 0.5261995300303555 1.4857769979224085 0.45720865995991056 2.1823340832541014 0.3925361136493966 2.879401243088991 0.33415584551804656 3.5770022656207607 0.2818845179127149 4.275033000512456 0.23393825309614638 4.973345241282978 0.18787199652001094 
8	0.7	60.001	3	10	10	10	5	(172, 232, 139)	6.299022011076659	8.815216922552963	-4.272322147083195 -0.9283965567162543 -3.573249901247493 -0.9102020816667983 -2.8735607658401863 -0.8942403483705266 -2.1737391427463626 -0.879825938556855 -1.4739039564529153 -0.8659010667403705 -0.7740714928960528 -0.8520681952616258 -0.07423925100117826 -0.8383686196662096 0.6255924985398008 -0.8248338449121319 
8	0.7	60.001	3	10	10	10	5	(165, 249, 243)	6.269922318255178	7.472044437655681	0.12438650285463487 0.6182349346460153 0.797464085344081 0.5606137230657712 1.489857349089006 0.4957069558415439 2.1858362693920466 0.42778358967721153 2.8823276022107223 0.35975236477384187 3.578972683751888 0.29217623699935713 4.27568528307099 0.22481068765533893 4.972425909916604 0.15748740479917764 
